#plotCorrelation --outFileCorMatrix
	'Lamina_CP_Tissue'	'Lamina_CP_Tissue_40M'	'Lamina_CP_Tissue_50M'	'Lamina_CP_Tissue_60M'	'Lamina_GS_Tissue'	'Lamina_GS_Tissue_40M'	'Lamina_GS_Tissue_50M'	'Lamina_GS_Tissue_60M'	'Liver_CP_Tissue_40M'	'Liver_CP_Tissue_50M'	'Liver_CP_Tissue_60M'	'Liver_GS_Tissue'	'Liver_GS_Tissue_40M'	'Liver_GS_Tissue_50M'	'Liver_GS_Tissue_60M'	'Liver_CP_Nuclei'	'Liver_CP_Nuclei_60M'	'Liver_CP_Nuclei_40M'	'Liver_CP_Nuclei_50M'	'Liver_CP_NucleiAM'	'Liver_CP_NucleiAM_40M'	'Liver_CP_NucleiAM_50M'	'Liver_CP_NucleiAM_60M'	'Liver_GS_NucleiAM_40M'	'Liver_GS_NucleiAM'	'Liver_GS_NucleiAM_50M'	'Liver_GS_NucleiAM_60M'	'Liver_GS_Nuclei'	'Liver_GS_Nuclei_40M'	'Liver_GS_Nuclei_50M'	'Liver_GS_Nuclei_60M'	'Liver_GS_TissueAM_40M'	'Liver_GS_TissueAM_50M'	'Liver_GS_TissueAM'	'Liver_GS_TissueAM_60M'	'Liver_CP_TissueAM'	'Liver_CP_TissueAM_60M'	'Liver_CP_TissueAM_40M'	'Liver_CP_TissueAM_50M'	'Lamina_CP_TissueAM'	'Lamina_CP_TissueAM_60M'	'Lamina_CP_TissueAM_40M'	'Lamina_CP_TissueAM_50M'	'Lamina_GS_TissueAM_40M'	'Lamina_GS_TissueAM_50M'	'Lamina_GS_TissueAM'	'Lamina_GS_TissueAM_60M'	'Lamina_GS_Nuclei_40M'	'Lamina_GS_Nuclei_50M'	'Lamina_GS_Nuclei_60M'	'Lamina_CP_Nuclei'	'Lamina_CP_Nuclei_40M'	'Lamina_CP_Nuclei_50M'	'Lamina_CP_Nuclei_60M'	'Lamina_GS_NucleiAM_40M'	'Lamina_GS_NucleiAM_50M'	'Lamina_GS_NucleiAM'	'Lamina_GS_NucleiAM_60M'	'Lamina_CP_NucleiAM_40M'	'Lamina_CP_NucleiAM_50M'	'Lamina_CP_NucleiAM'	'Lamina_CP_NucleiAM_60M'	'Liver_CP_Tissue'	'Lamina_GS_Nuclei'
'Liver_CP_Tissue_60M'	0.9212	0.9027	0.9069	0.9103	0.8732	0.8432	0.8485	0.8556	0.9868	0.9884	1.0000	0.9630	0.9562	0.9582	0.9586	0.9032	0.9004	0.8989	0.8992	0.9620	0.9600	0.9607	0.9610	0.9427	0.9438	0.9434	0.9435	0.9501	0.9470	0.9477	0.9478	0.9465	0.9472	0.9477	0.9475	0.9670	0.9666	0.9657	0.9663	0.7032	0.6980	0.6843	0.6909	0.6564	0.6701	0.6824	0.6784	0.6960	0.7027	0.7078	0.8366	0.8140	0.8203	0.8235	0.2427	0.2455	0.2490	0.2457	0.2846	0.2876	0.2942	0.2908	0.3785	0.3595
'Liver_GS_Tissue'	0.9323	0.9133	0.9180	0.9214	0.9061	0.8747	0.8805	0.8871	0.9580	0.9619	0.9630	1.0000	0.9925	0.9945	0.9958	0.8949	0.8913	0.8904	0.8909	0.9552	0.9536	0.9538	0.9541	0.9453	0.9462	0.9456	0.9458	0.9627	0.9596	0.9605	0.9608	0.9478	0.9488	0.9491	0.9489	0.9469	0.9466	0.9458	0.9463	0.7107	0.7054	0.6920	0.6985	0.6756	0.6894	0.7021	0.6980	0.7283	0.7347	0.7400	0.8515	0.8284	0.8356	0.8384	0.2607	0.2637	0.2675	0.2639	0.2959	0.2989	0.3057	0.3024	0.3738	0.3740
'Liver_GS_Tissue_40M'	0.9263	0.9074	0.9121	0.9154	0.8997	0.8685	0.8743	0.8809	0.9512	0.9551	0.9562	0.9925	1.0000	0.9871	0.9888	0.8897	0.8862	0.8852	0.8858	0.9491	0.9475	0.9478	0.9480	0.9395	0.9404	0.9399	0.9401	0.9566	0.9534	0.9544	0.9546	0.9417	0.9426	0.9429	0.9427	0.9410	0.9407	0.9399	0.9404	0.7055	0.7002	0.6869	0.6933	0.6707	0.6845	0.6971	0.6930	0.7212	0.7275	0.7328	0.8443	0.8214	0.8285	0.8314	0.2576	0.2606	0.2643	0.2608	0.2927	0.2957	0.3025	0.2992	0.3717	0.3707
'Liver_GS_Tissue_50M'	0.9277	0.9088	0.9135	0.9169	0.9012	0.8699	0.8758	0.8823	0.9532	0.9571	0.9582	0.9945	0.9871	1.0000	0.9907	0.8907	0.8872	0.8862	0.8867	0.9508	0.9492	0.9494	0.9496	0.9407	0.9416	0.9410	0.9413	0.9576	0.9545	0.9554	0.9557	0.9434	0.9443	0.9446	0.9444	0.9424	0.9421	0.9412	0.9418	0.7075	0.7021	0.6888	0.6953	0.6724	0.6862	0.6987	0.6946	0.7239	0.7303	0.7356	0.8469	0.8240	0.8311	0.8339	0.2592	0.2622	0.2660	0.2625	0.2944	0.2974	0.3041	0.3009	0.3721	0.3718
'Liver_GS_Tissue_60M'	0.9283	0.9094	0.9141	0.9174	0.9024	0.8711	0.8769	0.8835	0.9535	0.9575	0.9586	0.9958	0.9888	0.9907	1.0000	0.8913	0.8877	0.8868	0.8873	0.9511	0.9495	0.9497	0.9499	0.9418	0.9427	0.9421	0.9423	0.9593	0.9562	0.9571	0.9573	0.9441	0.9450	0.9454	0.9452	0.9428	0.9425	0.9417	0.9423	0.7070	0.7017	0.6884	0.6948	0.6725	0.6863	0.6988	0.6947	0.7241	0.7305	0.7358	0.8469	0.8239	0.8311	0.8339	0.2585	0.2615	0.2652	0.2617	0.2936	0.2966	0.3033	0.3001	0.3725	0.3721
'Liver_CP_Nuclei'	0.9247	0.9062	0.9102	0.9134	0.8756	0.8454	0.8498	0.8580	0.8997	0.9023	0.9032	0.8949	0.8897	0.8907	0.8913	1.0000	0.9965	0.9950	0.9955	0.9351	0.9333	0.9336	0.9340	0.9394	0.9406	0.9402	0.9402	0.9416	0.9386	0.9391	0.9393	0.9119	0.9123	0.9129	0.9128	0.9335	0.9331	0.9320	0.9327	0.6695	0.6645	0.6523	0.6570	0.6464	0.6605	0.6720	0.6683	0.5431	0.5492	0.5539	0.7256	0.7059	0.7114	0.7141	0.1794	0.1808	0.1833	0.1808	0.2268	0.2280	0.2335	0.2310	0.3907	0.3142
'Liver_CP_Nuclei_60M'	0.9219	0.9035	0.9076	0.9108	0.8720	0.8420	0.8463	0.8545	0.8970	0.8995	0.9004	0.8913	0.8862	0.8872	0.8877	0.9965	1.0000	0.9919	0.9919	0.9325	0.9306	0.9309	0.9313	0.9364	0.9375	0.9372	0.9372	0.9378	0.9348	0.9353	0.9355	0.9096	0.9100	0.9106	0.9105	0.9306	0.9302	0.9291	0.9297	0.6679	0.6629	0.6508	0.6554	0.6443	0.6585	0.6700	0.6662	0.5409	0.5470	0.5517	0.7233	0.7037	0.7092	0.7118	0.1787	0.1801	0.1826	0.1800	0.2263	0.2275	0.2329	0.2304	0.3899	0.3130
'Liver_CP_Nuclei_40M'	0.9205	0.9020	0.9061	0.9093	0.8716	0.8416	0.8461	0.8541	0.8955	0.8980	0.8989	0.8904	0.8852	0.8862	0.8868	0.9950	0.9919	1.0000	0.9905	0.9302	0.9284	0.9287	0.9290	0.9341	0.9353	0.9350	0.9349	0.9367	0.9338	0.9341	0.9345	0.9069	0.9072	0.9078	0.9077	0.9286	0.9282	0.9271	0.9277	0.6662	0.6612	0.6492	0.6538	0.6432	0.6573	0.6687	0.6650	0.5403	0.5464	0.5511	0.7223	0.7027	0.7081	0.7108	0.1786	0.1800	0.1825	0.1799	0.2258	0.2271	0.2325	0.2300	0.3892	0.3129
'Liver_CP_Nuclei_50M'	0.9211	0.9027	0.9067	0.9099	0.8717	0.8418	0.8460	0.8542	0.8957	0.8982	0.8992	0.8909	0.8858	0.8867	0.8873	0.9955	0.9919	0.9905	1.0000	0.9307	0.9289	0.9293	0.9296	0.9347	0.9359	0.9356	0.9356	0.9373	0.9344	0.9349	0.9350	0.9069	0.9072	0.9079	0.9077	0.9292	0.9289	0.9278	0.9284	0.6668	0.6617	0.6498	0.6544	0.6433	0.6574	0.6689	0.6651	0.5406	0.5467	0.5514	0.7228	0.7033	0.7086	0.7114	0.1785	0.1799	0.1824	0.1799	0.2257	0.2269	0.2323	0.2299	0.3888	0.3127
'Liver_CP_NucleiAM'	0.9432	0.9244	0.9285	0.9320	0.8805	0.8504	0.8550	0.8629	0.9584	0.9608	0.9620	0.9552	0.9491	0.9508	0.9511	0.9351	0.9325	0.9302	0.9307	1.0000	0.9978	0.9985	0.9990	0.9813	0.9824	0.9819	0.9820	0.9700	0.9667	0.9674	0.9675	0.9785	0.9790	0.9797	0.9795	0.9871	0.9867	0.9857	0.9862	0.7071	0.7017	0.6884	0.6941	0.6650	0.6790	0.6912	0.6873	0.6438	0.6508	0.6557	0.7994	0.7776	0.7840	0.7868	0.2090	0.2112	0.2139	0.2108	0.2564	0.2585	0.2645	0.2616	0.3931	0.3431
'Liver_CP_NucleiAM_40M'	0.9413	0.9226	0.9266	0.9301	0.8790	0.8489	0.8536	0.8614	0.9563	0.9588	0.9600	0.9536	0.9475	0.9492	0.9495	0.9333	0.9306	0.9284	0.9289	0.9978	1.0000	0.9964	0.9967	0.9794	0.9805	0.9800	0.9801	0.9685	0.9652	0.9659	0.9661	0.9765	0.9770	0.9776	0.9774	0.9850	0.9846	0.9836	0.9841	0.7053	0.7000	0.6867	0.6924	0.6636	0.6775	0.6898	0.6859	0.6424	0.6494	0.6542	0.7975	0.7757	0.7822	0.7850	0.2083	0.2105	0.2132	0.2100	0.2556	0.2576	0.2636	0.2606	0.3924	0.3425
'Liver_CP_NucleiAM_50M'	0.9417	0.9230	0.9270	0.9305	0.8790	0.8490	0.8536	0.8615	0.9570	0.9595	0.9607	0.9538	0.9478	0.9494	0.9497	0.9336	0.9309	0.9287	0.9293	0.9985	0.9964	1.0000	0.9975	0.9797	0.9808	0.9803	0.9804	0.9684	0.9651	0.9658	0.9659	0.9770	0.9775	0.9782	0.9780	0.9856	0.9852	0.9842	0.9848	0.7061	0.7007	0.6874	0.6931	0.6640	0.6780	0.6902	0.6863	0.6431	0.6501	0.6550	0.7984	0.7766	0.7830	0.7858	0.2087	0.2109	0.2136	0.2104	0.2560	0.2581	0.2640	0.2611	0.3925	0.3427
'Liver_CP_NucleiAM_60M'	0.9421	0.9234	0.9274	0.9309	0.8794	0.8493	0.8539	0.8619	0.9574	0.9598	0.9610	0.9541	0.9480	0.9496	0.9499	0.9340	0.9313	0.9290	0.9296	0.9990	0.9967	0.9975	1.0000	0.9801	0.9812	0.9807	0.9808	0.9686	0.9653	0.9660	0.9661	0.9775	0.9780	0.9786	0.9785	0.9861	0.9857	0.9847	0.9853	0.7066	0.7013	0.6879	0.6937	0.6644	0.6784	0.6906	0.6867	0.6433	0.6504	0.6552	0.7988	0.7769	0.7834	0.7862	0.2093	0.2115	0.2142	0.2110	0.2566	0.2587	0.2647	0.2617	0.3926	0.3428
'Liver_GS_NucleiAM_40M'	0.9286	0.9099	0.9142	0.9175	0.8732	0.8431	0.8475	0.8556	0.9382	0.9418	0.9427	0.9453	0.9395	0.9407	0.9418	0.9394	0.9364	0.9341	0.9347	0.9813	0.9794	0.9797	0.9801	1.0000	0.9991	0.9985	0.9987	0.9876	0.9842	0.9852	0.9853	0.9845	0.9851	0.9856	0.9855	0.9797	0.9794	0.9785	0.9789	0.6653	0.6601	0.6483	0.6527	0.6425	0.6560	0.6676	0.6641	0.5958	0.6024	0.6073	0.7495	0.7288	0.7356	0.7377	0.1614	0.1629	0.1645	0.1619	0.2071	0.2082	0.2130	0.2109	0.3968	0.3298
'Liver_GS_NucleiAM'	0.9297	0.9111	0.9154	0.9186	0.8740	0.8439	0.8483	0.8563	0.9393	0.9429	0.9438	0.9462	0.9404	0.9416	0.9427	0.9406	0.9375	0.9353	0.9359	0.9824	0.9805	0.9808	0.9812	0.9991	1.0000	0.9994	0.9996	0.9885	0.9852	0.9861	0.9862	0.9853	0.9858	0.9864	0.9862	0.9810	0.9806	0.9797	0.9802	0.6658	0.6607	0.6488	0.6533	0.6429	0.6563	0.6680	0.6645	0.5962	0.6027	0.6076	0.7503	0.7295	0.7364	0.7385	0.1614	0.1629	0.1644	0.1618	0.2071	0.2082	0.2130	0.2109	0.3973	0.3300
'Liver_GS_NucleiAM_50M'	0.9295	0.9108	0.9151	0.9184	0.8737	0.8435	0.8479	0.8560	0.9389	0.9424	0.9434	0.9456	0.9399	0.9410	0.9421	0.9402	0.9372	0.9350	0.9356	0.9819	0.9800	0.9803	0.9807	0.9985	0.9994	1.0000	0.9990	0.9880	0.9847	0.9857	0.9857	0.9846	0.9851	0.9857	0.9855	0.9805	0.9801	0.9792	0.9797	0.6655	0.6604	0.6486	0.6531	0.6426	0.6560	0.6677	0.6642	0.5957	0.6022	0.6072	0.7500	0.7292	0.7360	0.7381	0.1613	0.1628	0.1643	0.1617	0.2070	0.2081	0.2129	0.2108	0.3972	0.3298
'Liver_GS_NucleiAM_60M'	0.9294	0.9107	0.9150	0.9183	0.8737	0.8436	0.8480	0.8560	0.9390	0.9425	0.9435	0.9458	0.9401	0.9413	0.9423	0.9402	0.9372	0.9349	0.9356	0.9820	0.9801	0.9804	0.9808	0.9987	0.9996	0.9990	1.0000	0.9881	0.9847	0.9857	0.9858	0.9849	0.9855	0.9860	0.9859	0.9805	0.9802	0.9793	0.9797	0.6658	0.6606	0.6488	0.6533	0.6428	0.6562	0.6679	0.6643	0.5960	0.6026	0.6075	0.7501	0.7293	0.7362	0.7383	0.1614	0.1629	0.1645	0.1619	0.2071	0.2082	0.2130	0.2110	0.3971	0.3299
'Liver_GS_Nuclei'	0.9303	0.9115	0.9160	0.9191	0.8870	0.8562	0.8610	0.8683	0.9449	0.9490	0.9501	0.9627	0.9566	0.9576	0.9593	0.9416	0.9378	0.9367	0.9373	0.9700	0.9685	0.9684	0.9686	0.9876	0.9885	0.9880	0.9881	1.0000	0.9967	0.9976	0.9979	0.9698	0.9706	0.9711	0.9709	0.9712	0.9708	0.9699	0.9705	0.6570	0.6518	0.6404	0.6452	0.6394	0.6525	0.6641	0.6604	0.6174	0.6234	0.6285	0.7640	0.7431	0.7501	0.7521	0.1650	0.1667	0.1682	0.1657	0.2085	0.2098	0.2146	0.2125	0.3931	0.3390
'Liver_GS_Nuclei_40M'	0.9274	0.9085	0.9131	0.9162	0.8842	0.8534	0.8582	0.8656	0.9419	0.9460	0.9470	0.9596	0.9534	0.9545	0.9562	0.9386	0.9348	0.9338	0.9344	0.9667	0.9652	0.9651	0.9653	0.9842	0.9852	0.9847	0.9847	0.9967	1.0000	0.9941	0.9949	0.9666	0.9673	0.9678	0.9676	0.9678	0.9674	0.9665	0.9671	0.6551	0.6499	0.6386	0.6433	0.6376	0.6507	0.6622	0.6585	0.6153	0.6212	0.6264	0.7616	0.7407	0.7477	0.7497	0.1646	0.1662	0.1678	0.1652	0.2081	0.2093	0.2141	0.2121	0.3918	0.3379
'Liver_GS_Nuclei_50M'	0.9279	0.9091	0.9137	0.9167	0.8848	0.8541	0.8588	0.8661	0.9425	0.9466	0.9477	0.9605	0.9544	0.9554	0.9571	0.9391	0.9353	0.9341	0.9349	0.9674	0.9659	0.9658	0.9660	0.9852	0.9861	0.9857	0.9857	0.9976	0.9941	1.0000	0.9955	0.9676	0.9683	0.9688	0.9686	0.9685	0.9682	0.9672	0.9679	0.6555	0.6503	0.6390	0.6437	0.6379	0.6510	0.6626	0.6589	0.6163	0.6223	0.6275	0.7624	0.7416	0.7485	0.7505	0.1647	0.1663	0.1679	0.1653	0.2081	0.2093	0.2142	0.2120	0.3920	0.3384
'Liver_GS_Nuclei_60M'	0.9282	0.9093	0.9139	0.9170	0.8854	0.8546	0.8594	0.8666	0.9426	0.9467	0.9478	0.9608	0.9546	0.9557	0.9573	0.9393	0.9355	0.9345	0.9350	0.9675	0.9661	0.9659	0.9661	0.9853	0.9862	0.9857	0.9858	0.9979	0.9949	0.9955	1.0000	0.9675	0.9683	0.9687	0.9686	0.9687	0.9683	0.9674	0.9680	0.6553	0.6502	0.6388	0.6435	0.6380	0.6510	0.6626	0.6589	0.6162	0.6221	0.6273	0.7623	0.7414	0.7484	0.7503	0.1647	0.1664	0.1679	0.1654	0.2081	0.2094	0.2142	0.2121	0.3922	0.3384
'Liver_GS_TissueAM_40M'	0.9106	0.8921	0.8965	0.9000	0.8525	0.8231	0.8277	0.8356	0.9427	0.9458	0.9465	0.9478	0.9417	0.9434	0.9441	0.9119	0.9096	0.9069	0.9069	0.9785	0.9765	0.9770	0.9775	0.9845	0.9853	0.9846	0.9849	0.9698	0.9666	0.9676	0.9675	1.0000	0.9984	0.9989	0.9987	0.9764	0.9760	0.9753	0.9756	0.6667	0.6616	0.6493	0.6540	0.6346	0.6484	0.6599	0.6565	0.6364	0.6431	0.6479	0.7738	0.7523	0.7592	0.7617	0.1772	0.1790	0.1809	0.1781	0.2200	0.2215	0.2266	0.2245	0.3863	0.3403
'Liver_GS_TissueAM_50M'	0.9111	0.8926	0.8970	0.9004	0.8531	0.8237	0.8283	0.8363	0.9434	0.9465	0.9472	0.9488	0.9426	0.9443	0.9450	0.9123	0.9100	0.9072	0.9072	0.9790	0.9770	0.9775	0.9780	0.9851	0.9858	0.9851	0.9855	0.9706	0.9673	0.9683	0.9683	0.9984	1.0000	0.9995	0.9993	0.9770	0.9766	0.9758	0.9761	0.6669	0.6618	0.6495	0.6542	0.6349	0.6486	0.6601	0.6567	0.6372	0.6439	0.6487	0.7745	0.7529	0.7598	0.7623	0.1773	0.1790	0.1810	0.1782	0.2201	0.2215	0.2267	0.2245	0.3865	0.3407
'Liver_GS_TissueAM'	0.9117	0.8932	0.8975	0.9010	0.8535	0.8240	0.8287	0.8366	0.9439	0.9470	0.9477	0.9491	0.9429	0.9446	0.9454	0.9129	0.9106	0.9078	0.9079	0.9797	0.9776	0.9782	0.9786	0.9856	0.9864	0.9857	0.9860	0.9711	0.9678	0.9688	0.9687	0.9989	0.9995	1.0000	0.9998	0.9776	0.9772	0.9764	0.9767	0.6673	0.6622	0.6499	0.6546	0.6352	0.6489	0.6604	0.6570	0.6374	0.6441	0.6489	0.7749	0.7533	0.7602	0.7627	0.1773	0.1790	0.1810	0.1782	0.2201	0.2216	0.2267	0.2246	0.3867	0.3408
