## This is a tabular format curated from sambamba/samtools flagstat output.
## Author: Sichong Peng (scpeng@ucdavis.edu)
File,Total(QC passed),Total(QC failed),Duplicates(QC passed),Mapped(QC passed),Mapped%(QC passed),Paired(QC passed),R1(QC passed),R2(QC passed),Properly paired(QC passed),Properly paired%(QC passed),Paired mapped(QC passed),Mate only(QC passed),Mate only%(QC passed),Mate mapped to diff chr(QC passed), Mate mapped to diff chr(mapQ>5)(QC passed),Duplicates(QC failed),Mapped(QC failed),Mapped%(QC failed),Paired(QC failed),R1(QC failed),R2(QC failed),Properly paired(QC failed),Properly paired%(QC failed),Paired mapped(QC failed),Mate only(QC failed),Mate only%(QC failed),Mate mapped to diff chr(QC failed), Mate mapped to diff chr(mapQ>5)(QC failed)
Lamina_CP_TissueAM_50M_dedup,39562643,0,0,39562643,100.00%,39428502,19828009,19734634,38160634,96.46%,39428502,134141,0.34%,86548,31008,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_60M_filtered,46363662,0,1242606,46363662,100.00%,46199933,23230651,23133011,44921706,96.89%,46199933,163729,0.35%,92985,34324,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_50M,49965674,0,2828240,48739919,97.55%,48141330,24982837,24982837,47654444,95.37%,48141330,598589,1.20%,291398,48345,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_chrM,975606,0,446926,972622,99.69% ,969599,485092,490475,957364,98.13% ,969599,2984,0.31% ,6853,4801,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Tissue_60M_filtered,49864651,0,9049903,49864651,100.00%,49650259,25034643,24830008,49318746,98.91%,49650259,214392,0.43%,101861,61877,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_50M_chrM,11419280,0,11281058,11407145,99.89% ,11394433,5711374,5707329,11374896,99.62% ,11394433,12135,0.11% ,7975,5802,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Tissue_60M_filtered,47921867,0,10496473,47921867,100.00%,47730798,24050182,23871685,47115784,98.32%,47730798,191069,0.40%,96728,54237,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_40M_filtered,32983607,0,8774636,32983607,100.00%,32837475,16560148,16423459,32684880,99.09%,32837475,146132,0.44%,69447,41782,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_40M_chrM,9993271,0,9872625,9982679,99.89% ,9971582,4998179,4994587,9954772,99.62% ,9971582,10592,0.11% ,6994,5068,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Tissue_60M_chrM,2569876,0,2175535,2568286,99.94% ,2566526,1284596,1285110,2561508,99.68% ,2566526,1590,0.06% ,2186,1702,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_TissueAM_50M_filtered,39793332,0,3639365,39793332,100.00%,39683491,19904224,19889108,39560500,99.41%,39683491,109841,0.28%,28507,11988,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_60M,60802084,0,15802870,59996257,98.67%,59725856,30386895,30386895,59367614,97.69%,59725856,242107,0.40%,222718,96649,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_40M_filtered,34041997,0,12982743,34041997,100.00%,33935139,17072109,16969888,33641486,98.82%,33935139,106858,0.31%,54795,32927,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_40M_filtered,31032575,0,1071683,31032575,100.00%,30644905,15695176,15337399,30458132,98.15%,30644905,387670,1.25%,40703,16192,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_60M,59531494,0,18345200,58453849,98.19%,58083586,29765747,29765747,57915834,97.29%,58083586,370263,0.62%,60596,23327,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_40M,39858194,0,1542886,37186377,93.30%,37055922,19929097,19929097,36072504,90.50%,37055922,130455,0.33%,168588,35753,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_60M,60649834,0,13150890,58111628,95.81%,57882366,30314619,30314619,57135504,94.24%,57882366,208666,0.34%,208254,83679,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_40M_chrM,9081644,0,8114378,9034731,99.48% ,8987818,4541641,4540003,8973222,98.81% ,8987818,46913,0.52% ,3652,2578,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiAM_60M_filtered,46834366,0,8130558,46834366,100.00%,46423525,23594045,23240321,46378960,99.03%,46423525,410841,0.88%,32435,14684,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_50M_dedup,30252224,0,0,30252224,100.00%,30144772,15176131,15076093,29965694,99.05%,30144772,107452,0.36%,80438,48081,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_40M_chrM,31815,0,6747,31441,98.82% ,31067,15919,15896,30906,97.14% ,31067,374,1.18% ,45,18,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Tissue_60M_dedup,40814748,0,0,40814748,100.00%,40686649,20468714,20346034,40366622,98.90%,40686649,128099,0.31%,98475,59631,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_40M_chrM,1769215,0,1387574,1766490,99.85% ,1763708,884341,884817,1755138,99.21% ,1763708,2725,0.15% ,2118,1587,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Nuclei_60M_chrM,23640729,0,22950502,23616900,99.90% ,23592648,11823789,11816517,23521088,99.50% ,23592648,23829,0.10% ,16844,12284,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_NucleiFirst,152114579,0,85336512,151499613,99.60%,151062506,76036611,76036611,149420236,98.26%,151062506,395750,0.26%,391924,167441,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_dedup,95693559,0,0,95693559,100.00%,95467586,47955122,47738437,94258930,98.50%,95467586,225973,0.24%,232590,139192,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_60M_dedup,43469918,0,0,43469918,100.00%,43379310,21740262,21729656,43232820,99.45%,43379310,90608,0.21%,33974,14209,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_50M_filtered,39487766,0,953563,39487766,100.00%,39067029,19934058,19553708,38798532,98.25%,39067029,420737,1.07%,50545,20291,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei,165180236,0,19853639,163496064,98.98%,162442478,82548370,82548370,161595166,97.88%,162442478,970090,0.59%,571670,284741,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_dedup,56365041,0,0,56365041,100.00%,56088068,28288445,28076596,55886872,99.15%,56088068,276973,0.49%,58400,23168,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_40M_dedup,12394679,0,0,12394679,100.00%,12369505,6205618,6189061,12083948,97.49%,12369505,25174,0.20%,54715,23521,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_40M_filtered,32906004,0,3717088,32906004,100.00%,32742907,16518689,16387315,32686452,99.33%,32742907,163097,0.50%,23009,10586,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_40M_dedup,30321402,0,0,30321402,100.00%,30042897,15287102,15034300,29833774,98.39%,30042897,278505,0.92%,39737,15825,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_40M,39571543,0,15330622,39379157,99.51%,39252422,19778898,19778898,38927134,98.41%,39252422,112988,0.29%,80858,41741,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_50M_chrM,11239377,0,10041470,11181582,99.49% ,11123787,5620681,5618696,11105718,98.81% ,11123787,57795,0.51% ,4475,3196,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Tissue_50M_chrM,2232032,0,1749747,2228492,99.84% ,2224833,1115669,1116244,2213856,99.19% ,2224833,3540,0.16% ,2597,1892,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Tissue_40M,39149784,0,8014804,38861849,99.26%,38690626,19565194,19565194,38422776,98.19%,38690626,151827,0.39%,107424,53761,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM,96021268,0,29589677,94283235,98.19%,93685322,48010634,48010634,93414652,97.29%,93685322,597913,0.62%,98014,37590,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_50M_chrM,40612,0,8790,40136,98.83% ,39660,20319,20293,39468,97.18% ,39660,476,1.17% ,58,22,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_NucleiAM_40M,39669500,0,2244636,38696462,97.55%,38220822,19834750,19834750,37834626,95.37%,38220822,475640,1.20%,231192,38365,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiFirst_filtered,85154699,0,29593292,85154699,100.00%,84824870,42732126,42422573,83556704,98.12%,84824870,329829,0.39%,200572,104648,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_filtered,154727163,0,59033604,154727163,100.00%,154240939,77596388,77130775,152905536,98.82%,154240939,486224,0.31%,247873,149110,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_50M_chrM,20483618,0,19885082,20463021,99.90% ,20442040,10244860,10238374,20379498,99.49% ,20442040,20597,0.10% ,14730,10680,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_TissueAM_60M,60323680,0,11817918,59771470,99.08%,59613132,30161840,30161840,59436132,98.53%,59613132,158338,0.26%,53372,19059,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_dedup,53080754,0,0,53080754,100.00%,52880700,26620591,26460163,52778894,99.43%,52880700,200054,0.38%,41348,18901,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_60M_chrM,2692167,0,2111491,2687958,99.84% ,2683645,1345666,1346397,2670518,99.20% ,2683645,4209,0.16% ,3171,2343,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Nuclei_40M_chrM,15757823,0,15296473,15741852,99.90% ,15725554,7881308,7876188,15677604,99.49% ,15725554,15971,0.10% ,11202,8179,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_NucleiAM_60M_chrM,48455,0,10340,47888,98.83% ,47321,24239,24216,47094,97.19% ,47321,567,1.17% ,71,22,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_NucleiAM_50M_dedup,29312425,0,0,29312425,100.00%,29168497,14711227,14601198,29063460,99.15%,29168497,143928,0.49%,30337,11978,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_60M_chrM,13398460,0,11972040,13329925,99.49% ,13261390,6700412,6698048,13239948,98.82% ,13261390,68535,0.51% ,5266,3735,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_TissueAM,69918602,0,2686004,68847824,98.47%,68595096,34959301,34959301,66517132,95.14%,68595096,252728,0.36%,372326,70633,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_chrM,9941604,0,8537291,9861656,99.20% ,9781708,4971369,4970235,9774564,98.32% ,9781708,79948,0.80% ,2012,1442,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_TissueAM_50M,49821500,0,1928742,46480043,93.29%,46316860,24910750,24910750,45088002,90.50%,46316860,163183,0.33%,211496,44765,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_50M_filtered,34442630,0,5130205,34442630,100.00%,34210170,17311228,17131402,34103524,99.02%,34210170,232460,0.67%,31398,12875,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_40M_filtered,30913589,0,828763,30913589,100.00%,30804240,15489593,15423996,29950908,96.89%,30804240,109349,0.35%,62082,22990,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_50M_dedup,37603879,0,0,37603879,100.00%,37482040,18838747,18765132,36427404,96.87%,37482040,121839,0.32%,77374,28622,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_chrM,1235118,0,698168,1232346,99.78% ,1229524,613661,621407,1215402,98.41% ,1229524,2772,0.22% ,9314,6598,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_Tissue_40M_filtered,31958954,0,7004336,31958954,100.00%,31831576,16039051,15919903,31419082,98.31%,31831576,127378,0.40%,65378,36713,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_chrM,300377,0,123663,299136,99.59% ,297895,150197,150180,289922,96.52% ,297895,1241,0.41% ,2095,778,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Tissue_40M_filtered,32769190,0,5945462,32769190,100.00%,32627925,16452033,16317157,32409846,98.90%,32627925,141265,0.43%,67457,40874,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue,202680357,0,52681143,199992445,98.67%,199091700,101293266,101293266,197899690,97.69%,199091700,806920,0.40%,739898,321591,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_60M_filtered,51058369,0,19478847,51058369,100.00%,50898273,25605820,25452549,50458152,98.82%,50898273,160096,0.31%,81485,49148,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_dedup,113428925,0,0,113428925,100.00%,113060811,56887132,56541793,111321158,98.14%,113060811,368114,0.32%,283673,158471,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_60M_filtered,47175245,0,1631686,47175245,100.00%,46586601,23859256,23315989,46302086,98.15%,46586601,588644,1.25%,61929,24800,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_60M_filtered,49460904,0,13147309,49460904,100.00%,49241513,24832854,24628050,49014152,99.10%,49241513,219391,0.44%,102841,61741,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_filtered,51513663,0,1380693,51513663,100.00%,51331440,25811265,25702398,49911584,96.89%,51331440,182223,0.35%,103270,38123,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_filtered,133406320,0,24294925,133406320,100.00%,132267675,67263789,66142531,131781476,98.78%,132267675,1138645,0.85%,360335,239791,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_50M,50164008,0,9823350,49705740,99.09%,49574362,25082004,25082004,49427238,98.53%,49574362,131378,0.26%,44370,15818,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_50M_filtered,42692328,0,7774582,42692328,100.00%,42327375,21525812,21166516,42171286,98.78%,42327375,364953,0.85%,115619,76795,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_50M_dedup,34917746,0,0,34917746,100.00%,34675254,17578842,17338904,34524084,98.87%,34675254,242492,0.69%,112800,75037,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_chrM,2419619,0,1549433,2412323,99.70% ,2404916,1208057,1211451,2382052,98.45% ,2404916,7296,0.30% ,7126,5177,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_NucleiAM_60M_dedup,45543559,0,0,45543559,100.00%,45058945,22995954,22547605,44776910,98.32%,45058945,484614,1.06%,61715,24681,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_50M_filtered,27920247,0,11806943,27920247,100.00%,27847125,13987657,13932590,27449796,98.32%,27847125,73122,0.26%,77089,34048,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_40M_dedup,29188916,0,0,29188916,100.00%,29079054,14638581,14550335,29023396,99.43%,29079054,109862,0.38%,22744,10385,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_60M_dedup,2567740,0,0,2567740,100.00%,2559199,1283845,1283895,2404018,93.62%,2559199,8541,0.33%,85221,38921,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_filtered,62066752,0,2143965,62066752,100.00%,61292552,31390595,30676157,60918338,98.15%,61292552,774200,1.25%,81924,32693,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_60M,59778766,0,2315022,55769964,93.29%,55574452,29889383,29889383,54101016,90.50%,55574452,195512,0.33%,253118,53511,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_40M,40441781,0,8771100,38750747,95.82%,38597726,20214011,20214011,38097396,94.24%,38597726,139262,0.34%,139774,56214,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_40M_dedup,21059254,0,0,21059254,100.00%,21009724,10553339,10505915,20743792,98.50%,21009724,49530,0.24%,51450,30758,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_NucleiAM_40M,40336842,0,12429672,39607133,98.19%,39355920,20168421,20168421,39242730,97.29%,39355920,251213,0.62%,41000,15723,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_40M,40539720,0,10543288,40003223,98.68%,39823212,20260492,20260492,39584038,97.69%,39823212,161275,0.40%,148746,64800,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Nuclei_dedup,109111395,0,0,109111395,100.00%,108354259,54930343,54181052,107883128,98.87%,108354259,757136,0.69%,351547,234220,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_60M_chrM,37576,0,8024,37139,98.84% ,36702,18807,18769,36520,97.19% ,36702,437,1.16% ,74,22,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Tissue,179873059,0,69714026,178996392,99.51%,178419956,89905400,89905400,176939804,98.40%,178419956,514177,0.29%,367506,188833,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_60M_chrM,6063435,0,5207111,6014775,99.20% ,5966115,3032058,3031377,5961772,98.32% ,5966115,48660,0.80% ,1219,880,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_NucleiAM_50M_dedup,32352538,0,0,32352538,100.00%,32147615,16263867,16088671,32110916,99.25%,32147615,204923,0.63%,26807,11969,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM,72905572,0,12727873,71526123,98.11%,71175800,36452786,36452786,71053524,97.46%,71175800,350323,0.48%,55884,23705,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_TissueAM_dedup,50132970,0,0,50132970,100.00%,49970672,25115643,25017327,48565522,96.87%,49970672,162298,0.32%,102928,37962,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Tissue_60M,59572841,0,12196338,59134345,99.26%,58874848,29771878,29771878,58467444,98.19%,58874848,230412,0.39%,162736,81561,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_60M,59353830,0,23000565,59064788,99.51%,58875008,29666713,29666713,58387014,98.40%,58875008,169376,0.29%,120990,62389,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_filtered,55907503,0,961072,55907503,100.00%,55699470,28025569,27881934,53919794,96.44%,55699470,208033,0.37%,119928,42981,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_50M_dedup,30619766,0,0,30619766,100.00%,30519947,15356729,15263037,30048966,98.14%,30519947,99819,0.33%,77159,43185,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_TissueAM_50M_filtered,40254845,0,692202,40254845,100.00%,40105235,20178986,20075859,38824030,96.45%,40105235,149610,0.37%,86749,31105,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_50M_chrM,5071719,0,4356254,5031009,99.20% ,4990299,2536150,2535569,4986660,98.32% ,4990299,40710,0.80% ,1013,736,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_CP_Tissue_60M_dedup,31579522,0,0,31579522,100.00%,31504811,15825539,15753983,31106374,98.50%,31504811,74711,0.24%,76469,45898,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_40M_filtered,31472956,0,5469672,31472956,100.00%,31196734,15855517,15617439,31166692,99.03%,31196734,276222,0.88%,21844,9872,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_40M,39993316,0,7832605,39627141,99.08%,39522444,19996658,19996658,39405356,98.53%,39522444,104697,0.26%,35468,12609,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_50M_chrM,31135,0,6735,30737,98.72% ,30339,15583,15552,30172,96.91% ,30339,398,1.28% ,63,16,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_CP_NucleiAM_filtered,64736436,0,1565294,64736436,100.00%,64046039,32680449,32055987,63605664,98.25%,64046039,690397,1.07%,82981,33156,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_60M,60294950,0,3413582,58815143,97.55%,58092938,30147475,30147475,57505228,95.37%,58092938,722205,1.20%,351282,58239,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiFirst,156892495,0,126148727,156245759,99.59%,155839948,78423860,78423860,154851880,98.73%,155839948,361036,0.23%,392950,180457,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_chrM,66338,0,14095,65580,98.86% ,64822,33186,33152,64494,97.22% ,64822,758,1.14% ,102,33,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Lamina_GS_NucleiAM_40M_dedup,29960892,0,0,29960892,100.00%,29641634,15128139,14832753,29456518,98.32%,29641634,319258,1.07%,40560,16113,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_Tissue_50M,49620534,0,10762022,47546030,95.82%,47358332,24801822,24801822,46744626,94.24%,47358332,170808,0.34%,172054,69300,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
